continent, name,       ymin,  ymax,  xmin,  xmax,      area  
americas,  cascadia,   2400,  3000,  3250,  3750,    300000 
americas,  westcoast,  2300,  3500,  3200,  4000,    960000  
americas,  westus,     2400,  3600,  3250,  4200,   1140000 
americas,  eastus,     2400,  4000,  5500,  6800,   2080000  
americas,  us,         2300,  3900,  3200,  6800,   5760000  
americas,  mesoam,     3500,  5100,  3800,  7400,   5760000
americas,  suram,      4600,  8900,  5800,  8800,  12900000 
americas,  noram,      1500,  4700,  2400,  8000,  17920000 
americas,  latam,      3500,  8900,  3800,  8800,  27000000 
europe,    savoy,      2600,  2800, 11100, 11400,     60000
europe,    alps,       2500,  2900, 11050, 11800,    300000  
europe,    germany,    2100,  2620, 11000, 11900,    468000  
europe,    britain,    1850,  2450, 10150, 10950,    480000  
europe,    italy,      2500,  3225, 11050, 11925,    634375
europe,    eu,         1700,  3160, 10100, 12700,   3796000  
europe,    emea,       1300,  3900,  9200, 14200,  13000000
mea,       swahili,    5100,  6100, 12400, 13250,    850000
mea,       wafrica,    4300,  5300,  9600, 11600,   2000000   
mea,       riftvalley, 4300,  6700, 12400, 13600,   2880000  
mea,       casia,      2300,  3500, 13600, 16400,   3360000
mea,       middleeast, 2800,  4700, 12300, 14400,   3990000
mea,       bantu,      5300,  7600, 11200, 13000,   4140000 
mea,       africa,     4100,  7700,  9200, 14400,  18720000 
asia,      korea,      2800,  3420, 18240, 18640,    248000
asia,      myanmar,    3650,  4650, 16250, 17000,    750000  
asia,      japan,      2600,  3600, 18500, 19550,   1050000 
asia,      china,      2700,  4300, 16800, 18200,   2240000
asia,      india,      3200,  5100, 14700, 16600,   3610000
asia,      eastasia,   2300,  4400, 16400, 19600,   6720000
asia,      indonesia,  4100,  6300, 16400, 20000,   7920000
asia,      russia,      700,  2900, 12400, 21600,  20240000
asia,      silkroad,   2300,  5100, 12300, 19600,  20440000
asia,      apac,       2100,  6100, 14400, 20000,  22400000 
oceania,   hawaii,     4050,  4300,  1150,  1550,    100000 
oceania,   newzealand, 7400,  8300, 20700, 21600,    810000
oceania,   australia,  6000,  8100, 17400, 20200,   5880000
oceania,   centaus,    6600,  7140, 18300, 19080,    421200
oceania,   oceania,    4300,  9000, 18800, 21600,  13160000
oceania,   fiji,       6300,  6600, 21300, 21600,     90000
world,     world2017,   300,  9000,     0, 21600, 187920000 
world,     world,         0, 10800,     0, 21600, 187920000  
